state,x,y
Jammu &  Kashmir,-106.0,256.0
Telangana,-76.0,-70.0
Andhra Pradesh,-73.0,-136.0
Karnataka,-153.0,-142.0
Kerala,-138.0,-216.0
Tamil Nadu,-73.0,-230.0
Pondi Cherry,-56.0,-192.0
Odisha,35.0,-19.0
West Bengal,104.0,19.0
Sikkim,102.0,106.0
Punjab,-128.0,184.0
Himachal Pradesh,-90.0,199.0
Uttara Khand,-33.0,164.0
Haryana,-115.0,143.0
Delhi,-94.0,129.0
Uttar Pradesh,-26.0,109.0
Rajasthan,-201.0,105.0
Gujarat,-231.0,35.0
Maharastra,-171.0,-68.0
Dadra & Nagar Haveli,-177.0,-31.0
Goa,-167.0,-125.0
Madhya Pradesh,-115.0,17.0
Jhar Khand,38.0,20.0
Bihar,41.0,82.0
Anadaman & Nicobar Islands,166.0,-225.0
Lakshadweep Islands,-247.0,-216.0
